Category,Title,URL,Completed?,,
Places and infrastructure,Breast-shaped hill,https://en.wikipedia.org/wiki/Breast-shaped_hill,,,
Places and infrastructure,Bookland,https://en.wikipedia.org/wiki/Bookland,,,
Places and infrastructure,Eiffel Tower replicas and derivatives,https://en.wikipedia.org/wiki/Eiffel_Tower_replicas_and_derivatives,,,
Places and infrastructure,Folly,https://en.wikipedia.org/wiki/Folly,,,
Places and infrastructure,Gravity hill,https://en.wikipedia.org/wiki/Gravity_hill,,,
Places and infrastructure,List of cities claimed to be built on seven hills,https://en.wikipedia.org/wiki/List_of_cities_claimed_to_be_built_on_seven_hills,,,
Places and infrastructure,List of micronations,https://en.wikipedia.org/wiki/List_of_micronations,,,
Places and infrastructure,List of tautological place names,https://en.wikipedia.org/wiki/List_of_tautological_place_names,,,
Places and infrastructure,Phantom island,https://en.wikipedia.org/wiki/Phantom_island,,,
Places and infrastructure,Pizza farm,https://en.wikipedia.org/wiki/Pizza_farm,,,
Places and infrastructure,Recursive islands and lakes,https://en.wikipedia.org/wiki/Recursive_islands_and_lakes,,,
Places and infrastructure,Rocket garden,https://en.wikipedia.org/wiki/Rocket_garden,,,
Places and infrastructure,Spite house,https://en.wikipedia.org/wiki/Spite_house,,,
Places and infrastructure,Valeriepieris circle,https://en.wikipedia.org/wiki/Valeriepieris_circle,,,
Places and infrastructure,Abuja Airplane House,https://en.wikipedia.org/wiki/Abuja_Airplane_House,,,
Places and infrastructure,Akon City,https://en.wikipedia.org/wiki/Akon_City,,,
Places and infrastructure,Bir Tawil,https://en.wikipedia.org/wiki/Bir_Tawil,,,
Places and infrastructure,Blue Desert,https://en.wikipedia.org/wiki/Blue_Desert,,,
Places and infrastructure,Boulders Beach,https://en.wikipedia.org/wiki/Boulders_Beach,,,
Places and infrastructure,Congo Pedicle,https://en.wikipedia.org/wiki/Congo_Pedicle,,,
Places and infrastructure,Dallol,https://en.wikipedia.org/wiki/Dallol,,,
Places and infrastructure,Gaet'ale Pond,https://en.wikipedia.org/wiki/Gaet'ale_Pond,,,
Places and infrastructure,Giraffe Manor,https://en.wikipedia.org/wiki/Giraffe_Manor,,,
Places and infrastructure,Hoba meteorite,https://en.wikipedia.org/wiki/Hoba_meteorite,,,
Places and infrastructure,Jacob's Ladder,https://en.wikipedia.org/wiki/Jacob's_Ladder_(Saint_Helena),,,
Places and infrastructure,Kalakuta Republic,https://en.wikipedia.org/wiki/Kalakuta_Republic,,,
Places and infrastructure,Lake Nyos,https://en.wikipedia.org/wiki/Lake_Nyos,,,
Places and infrastructure,Lake Retba,https://en.wikipedia.org/wiki/Lake_Retba,,,
Places and infrastructure,Mauritania Railway,https://en.wikipedia.org/wiki/Mauritania_Railway,,,
Places and infrastructure,Oklo,https://en.wikipedia.org/wiki/Oklo,,,
Places and infrastructure,Palácio de Ferro,https://en.wikipedia.org/wiki/Pal%C3%A1cio_de_Ferro,,,
Places and infrastructure,Peñón de Vélez de la Gomera,https://en.wikipedia.org/wiki/Pe%C3%B1%C3%B3n_de_V%C3%A9lez_de_la_Gomera,,,
Places and infrastructure,Republic of Benin (1967),https://en.wikipedia.org/wiki/Republic_of_Benin_(1967),,,
Places and infrastructure,Socotra,https://en.wikipedia.org/wiki/Socotra,,,
Places and infrastructure,La Tante DC10 Restaurant,https://en.wikipedia.org/wiki/La_Tante_DC10_Restaurant,,,
Places and infrastructure,Tromelin Island,https://en.wikipedia.org/wiki/Tromelin_Island,,,
Places and infrastructure,The Owl House,https://en.wikipedia.org/wiki/The_Owl_House_(museum),,,
Places and infrastructure,Umoja,https://en.wikipedia.org/wiki/Umoja,,,
Places and infrastructure,Blood Falls,https://en.wikipedia.org/wiki/Blood_Falls,,,
Places and infrastructure,Mawson Peak,https://en.wikipedia.org/wiki/Mawson_Peak,,,
Places and infrastructure,McMurdo Dry Valleys,https://en.wikipedia.org/wiki/McMurdo_Dry_Valleys,,,
Places and infrastructure,Marie Byrd Land,https://en.wikipedia.org/wiki/Marie_Byrd_Land,,,
Places and infrastructure,New Swabia,https://en.wikipedia.org/wiki/New_Swabia,,,
Places and infrastructure,Pole of Inaccessibility research station,https://en.wikipedia.org/wiki/Pole_of_Inaccessibility_research_station,,,
Places and infrastructure,Villa Las Estrellas,https://en.wikipedia.org/wiki/Villa_Las_Estrellas,,,
Places and infrastructure,Diomede Islands,https://en.wikipedia.org/wiki/Diomede_Islands,,,
Places and infrastructure,Gangkhar Puensum,https://en.wikipedia.org/wiki/Gangkhar_Puensum,,,
Places and infrastructure,Gate Tower Building,https://en.wikipedia.org/wiki/Gate_Tower_Building,,,
Places and infrastructure,Hallstatt (China),https://en.wikipedia.org/wiki/Hallstatt_(China),,,
Places and infrastructure,Haesindang Park,https://en.wikipedia.org/wiki/Haesindang_Park,,,
Places and infrastructure,Hanazono Room,https://en.wikipedia.org/wiki/Hanazono_Room,,,
Places and infrastructure,Hằng Nga Guesthouse,https://en.wikipedia.org/wiki/H%E1%BA%B1ng_Nga_Guesthouse,,,
Places and infrastructure,High-Heel Wedding Church,https://en.wikipedia.org/wiki/High-Heel_Wedding_Church,,,
Places and infrastructure,Immovable Ladder,https://en.wikipedia.org/wiki/Immovable_Ladder,,,
Places and infrastructure,Imsil Cheese Theme Park,https://en.wikipedia.org/wiki/Imsil_Cheese_Theme_Park,,,
Places and infrastructure,"Jackson Hole, China",https://en.wikipedia.org/wiki/Jackson_Hole,_China,,
Places and infrastructure,Jatinga,https://en.wikipedia.org/wiki/Jatinga,,,
Places and infrastructure,Jaxa (state),https://en.wikipedia.org/wiki/Jaxa_(state),,,
